transaction_id,customer_id,timestamp,amount,merchant_category,channel,home_lat,home_lon,txn_lat,txn_lon,customer_age,account_tenure_months,avg_amount_30d,is_foreign_txn,is_fraud
1,5050,2025-09-01 00:10:36,585.26,gift_cards,card_present,15.28987,89.07071,15.1686,89.68461,50,21,560.86,0,0
2,3956,2025-09-01 01:03:46,2181.41,utilities,atm_withdrawal,31.3508,82.28846,31.87346,82.16981,18,13,2370.99,0,0
3,6382,2025-09-01 01:34:56,290.62,restaurant,online,25.29498,71.6512,24.72376,71.77077,27,34,1163.68,0,0
4,5552,2025-09-01 01:58:37,1842.2,grocery,card_present,21.23596,85.73346,21.39004,85.38259,36,1,2377.0,0,0
5,5577,2025-09-01 02:28:54,891.62,entertainment,online,18.44804,89.13029,15.47476,81.59639,42,70,1485.7,0,0
6,2814,2025-09-01 02:36:57,1453.85,online_retail,card_present,18.72921,75.63902,18.90147,75.56207,31,3,1207.19,0,0
7,5089,2025-09-01 02:50:11,2077.12,online_retail,card_present,32.27017,73.29303,32.76476,73.29137,20,47,1430.67,0,0
8,1411,2025-09-01 03:36:55,399.72,gas_station,card_present,11.43646,80.97211,11.20217,80.96024,32,17,661.29,0,0
9,6272,2025-09-01 03:51:42,196.78,grocery,card_present,22.90547,85.6545,22.92035,85.83482,18,19,690.29,0,0
10,7512,2025-09-01 04:01:17,126.81,gas_station,online,11.72651,89.19779,11.16563,88.75886,23,8,450.22,0,0
11,7665,2025-09-01 04:16:51,1720.83,restaurant,online,14.30888,83.38276,14.80435,83.57282,31,17,2315.14,0,0
12,456,2025-09-01 04:17:36,454.09,gas_station,card_present,11.71818,72.33863,12.15252,72.01758,39,3,1194.57,0,0
13,4788,2025-09-01 04:24:35,435.65,gas_station,online,21.18818,82.51312,21.70831,82.40927,38,29,1340.18,0,0
14,7542,2025-09-01 04:25:14,774.41,utilities,card_present,16.2723,74.80811,16.64423,74.83795,33,11,580.96,0,0
15,4978,2025-09-01 04:41:55,1621.73,healthcare,online,24.14393,77.35123,23.96713,76.97594,44,40,1120.36,0,0
16,1162,2025-09-01 04:56:30,816.3,online_retail,online,26.03586,70.80407,25.83962,70.88039,33,26,611.3,0,0
17,5155,2025-09-01 05:05:32,327.82,grocery,online,24.51048,92.02363,24.2651,91.98759,45,12,741.38,0,0
18,7437,2025-09-01 05:07:49,437.1,restaurant,online,10.55404,78.48633,11.21357,78.8887,50,35,870.99,0,0
19,2145,2025-09-01 05:35:02,206.77,grocery,online,32.45516,83.08685,32.12105,83.24972,29,32,423.35,0,0
20,2461,2025-09-01 05:40:39,508.74,entertainment,atm_withdrawal,13.53857,72.99405,13.75214,73.00916,22,23,680.61,0,0
21,2728,2025-09-01 05:48:24,476.41,restaurant,card_present,21.64832,88.66005,21.86516,88.93912,35,4,1166.64,0,0
22,5671,2025-09-01 06:10:47,382.94,restaurant,card_present,13.67619,83.83447,13.58563,84.02628,31,23,687.11,0,0
23,5280,2025-09-01 06:11:08,457.86,grocery,card_present,28.03613,94.45068,28.61165,95.05729,61,1,764.46,0,0
24,3263,2025-09-01 06:11:39,125.47,grocery,card_present,24.8224,94.9074,25.23798,95.92386,41,34,458.93,0,0
25,3436,2025-09-01 06:14:23,369.27,entertainment,online,15.96082,74.11986,15.93249,73.2115,44,2,558.18,0,0
26,6940,2025-09-01 06:15:54,1530.45,online_retail,online,31.55141,74.34765,32.1659,74.34347,36,41,1871.33,0,0
27,4056,2025-09-01 06:18:17,520.66,utilities,atm_withdrawal,25.44057,74.92578,25.7015,75.35773,42,8,462.36,0,0
28,2713,2025-09-01 06:24:34,478.71,restaurant,card_present,25.74001,71.51963,25.35516,71.70571,37,9,424.81,0,0
